vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15
car,SB,Peds,16,22,8,16,19,19,26,9,5
car,SB,R,6,24,28,27,26,19,23,23,6
car,SB,T,18,54,87,73,80,93,68,68,27
car,SB,L,0,0,0,0,0,0,0,0,0
car,WB,Peds,32,82,56,69,109,74,81,69,22
car,WB,R,0,0,1,1,0,0,0,0,0
car,WB,T,73,183,166,180,137,146,154,163,37
car,WB,L,21,61,70,57,79,62,74,49,21
car,NB,Peds,6,31,56,64,95,70,57,68,13
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0,0
car,EB,Peds,27,75,51,56,85,80,81,59,15
car,EB,R,0,0,0,0,0,0,0,0,0
car,EB,T,0,0,0,0,0,0,0,0,0
car,EB,L,0,0,0,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,1,0,0,0,0,0
truck,SB,T,1,3,4,5,2,2,1,2,1
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,2,3,6,6,5,7,1,5,3
truck,WB,L,3,1,4,2,1,1,0,1,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,1,0,0,0,0,0
bicycle,SB,T,1,3,6,5,5,6,9,11,1
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,1,1,0,0,0,0
bicycle,WB,T,1,9,7,6,5,9,8,6,4
bicycle,WB,L,4,0,0,5,2,1,2,3,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,1,0,2,0
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,2,1,0,1,1,0,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
