vehicleType,heading,dir,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,16,19,19,26
car,SB,R,27,26,19,23
car,SB,T,73,80,93,68
car,SB,L,0,0,0,0
car,WB,Peds,69,109,74,81
car,WB,R,1,0,0,0
car,WB,T,180,137,146,154
car,WB,L,57,79,62,74
car,NB,Peds,64,95,70,57
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,56,85,80,81
car,EB,R,0,0,0,0
car,EB,T,0,0,0,0
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,1,0,0,0
truck,SB,T,5,2,2,1
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,6,5,7,1
truck,WB,L,2,1,1,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,0,0,0
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,1,0,0,0
bicycle,SB,T,5,5,6,9
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,1,1,0,0
bicycle,WB,T,6,5,9,8
bicycle,WB,L,5,2,1,2
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,1,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,1,0,1,1
bicycle,EB,L,0,0,0,0
