vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,0,0,0,0,0,0,0,0,0
car,SB,R,0,0,0,0,0,0,0,0,0
car,SB,T,0,0,0,0,0,0,0,0,0
car,SB,L,0,0,0,0,0,0,0,0,0
car,WB,Peds,0,6,5,9,15,14,17,23,16
car,WB,R,0,0,0,0,0,0,0,0,0
car,WB,T,0,0,0,0,0,0,0,0,0
car,WB,L,0,0,0,0,0,0,0,0,0
car,NB,Peds,6,23,26,30,37,48,35,34,22
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0,0
car,EB,Peds,1,11,3,3,11,12,4,13,4
car,EB,R,23,91,117,96,130,175,159,189,91
car,EB,T,37,166,231,252,288,270,294,337,129
car,EB,L,6,56,48,71,55,45,23,34,26
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0,0
truck,SB,T,0,0,0,0,0,0,0,0,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,0,0,0,0,0,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,3,3,2,2,2,4,3,2
truck,EB,T,0,0,1,2,0,1,0,2,0
truck,EB,L,0,0,0,0,0,2,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,2,0,0,0,0,0
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,0,0,0,0,0,0
bicycle,WB,L,0,1,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,0,0,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,1,3,2,8,12,4,12,10,5
bicycle,EB,T,3,9,14,14,17,20,19,29,16
bicycle,EB,L,0,0,0,0,1,1,0,0,1
