vehicleType,heading,dir,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30
car,SB,Peds,0,0,0,0
car,SB,R,0,0,0,0
car,SB,T,0,0,0,0
car,SB,L,0,0,0,0
car,WB,Peds,0,0,0,0
car,WB,R,0,0,0,0
car,WB,T,0,1,0,0
car,WB,L,0,0,0,0
car,NB,Peds,53,68,70,61
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,0,0,0,0
car,EB,R,82,100,93,97
car,EB,T,235,220,270,211
car,EB,L,34,24,36,49
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,0,0,0,0
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,0,0,0
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,3,5,3,4
truck,EB,T,1,3,1,1
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,3,1,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,3,1,0,5
bicycle,EB,T,23,10,1,12
bicycle,EB,L,0,0,0,0
