vehicleType,heading,dir,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,22,50,41,37
car,SB,R,17,17,16,17
car,SB,T,66,75,79,67
car,SB,L,0,0,0,0
car,WB,Peds,44,62,53,59
car,WB,R,0,0,0,0
car,WB,T,82,75,93,86
car,WB,L,35,24,26,25
car,NB,Peds,23,38,21,27
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,35,43,51,36
car,EB,R,0,0,0,0
car,EB,T,0,0,0,0
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,1,0,0
truck,SB,T,3,3,4,3
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,1,2,1,3
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,0,0,0
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,5,3,7,8
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,2,3,7,4
bicycle,WB,L,1,3,1,1
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,2,3,1,0
bicycle,NB,L,0,0,1,1
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,0,1,0,0
bicycle,EB,L,0,0,0,0
