vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15
car,SB,Peds,0,0,0,0,0,0,0,0,0
car,SB,R,0,0,0,0,0,0,0,0,0
car,SB,T,0,0,0,0,0,0,0,0,0
car,SB,L,0,0,0,0,0,0,0,0,0
car,WB,Peds,0,0,0,0,0,0,0,0,0
car,WB,R,0,0,0,0,0,0,0,0,0
car,WB,T,0,1,0,1,0,0,0,0,0
car,WB,L,0,0,0,0,0,0,0,0,0
car,NB,Peds,11,55,53,68,70,61,87,96,18
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0,0
car,EB,Peds,0,0,0,0,0,0,0,0,0
car,EB,R,49,100,82,100,93,97,87,91,9
car,EB,T,88,184,235,220,270,211,184,183,22
car,EB,L,28,67,34,24,36,49,31,67,2
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0,0
truck,SB,T,0,0,0,0,0,0,0,0,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,0,0,0,0,0,0,0,0,0
truck,WB,L,0,0,0,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,1,3,3,5,3,4,4,2,0
truck,EB,T,4,3,1,3,1,1,2,3,0
truck,EB,L,0,1,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,0,0,0,0,0,0,0
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,0,6,0,3,1,0,1,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,0,0,0,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,5,3,1,0,5,1,5,0
bicycle,EB,T,0,5,23,10,1,12,11,12,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
