vehicleType,heading,dir,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,93,102,89,92
car,SB,R,0,0,0,0
car,SB,T,75,81,81,101
car,SB,L,41,42,60,42
car,WB,Peds,90,114,100,87
car,WB,R,0,0,0,0
car,WB,T,0,0,0,0
car,WB,L,0,0,0,0
car,NB,Peds,71,90,99,109
car,NB,R,0,0,0,0
car,NB,T,0,0,0,0
car,NB,L,0,0,0,0
car,EB,Peds,74,85,83,84
car,EB,R,17,20,23,19
car,EB,T,151,137,164,148
car,EB,L,0,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,3,1,3,2
truck,SB,L,5,2,6,6
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,0,0,0
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,0,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,4,2,2
truck,EB,T,2,5,7,1
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,14,13,13,10
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,1,3,1,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,1,0,0,0
bicycle,EB,T,16,10,8,8
bicycle,EB,L,0,0,0,0
