vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,9,24,23,26,36,23,34,42,5
car,SB,R,4,9,24,14,24,26,23,15,8
car,SB,T,31,79,88,79,102,133,141,150,37
car,SB,L,0,0,0,0,0,0,0,0,0
car,WB,Peds,2,6,11,11,24,17,31,44,17
car,WB,R,0,0,0,0,0,0,0,0,0
car,WB,T,25,38,40,66,60,71,55,38,24
car,WB,L,7,17,18,22,17,20,22,25,13
car,NB,Peds,3,9,9,26,16,25,38,49,13
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0,1
car,EB,Peds,6,21,25,32,21,20,29,33,12
car,EB,R,0,0,0,0,0,0,0,0,0
car,EB,T,0,0,0,0,0,0,0,0,0
car,EB,L,0,0,0,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,1,0,1,0
truck,SB,T,0,0,4,0,1,0,1,2,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,2,2,1,1,3,2,1,3,1
truck,WB,L,0,1,0,2,0,2,1,3,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0,0
bicycle,SB,T,1,2,2,7,9,4,10,9,4
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,1,0,0,0,0,0,0,0,0
bicycle,WB,T,0,1,1,0,1,1,1,1,1
bicycle,WB,L,0,0,0,1,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,1,0,0,0,0,0,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0,0
bicycle,EB,T,1,0,1,0,1,0,0,1,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
