vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15
car,SB,Peds,20,26,28,22,50,41,37,30,1
car,SB,R,8,10,13,17,17,16,17,9,1
car,SB,T,37,79,73,66,75,79,67,78,13
car,SB,L,0,0,0,0,0,0,0,0,0
car,WB,Peds,33,47,31,44,62,53,59,34,8
car,WB,R,0,0,0,0,0,0,0,0,0
car,WB,T,37,78,77,82,75,93,86,83,10
car,WB,L,9,33,33,35,24,26,25,23,5
car,NB,Peds,12,25,29,23,38,21,27,27,11
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,0,0,0,0,0,0
car,EB,Peds,17,35,34,35,43,51,36,33,13
car,EB,R,0,0,0,0,0,0,0,0,0
car,EB,T,0,0,0,0,0,0,0,0,0
car,EB,L,0,0,0,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,1,0,0,1,0,0,0,0
truck,SB,T,2,3,4,3,3,4,3,2,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,1,2,1,1,2,1,3,1,0
truck,WB,L,1,0,1,0,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0,0
bicycle,SB,T,3,4,5,5,3,7,8,7,0
bicycle,SB,L,0,2,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,1,0,2,2,3,7,4,0,0
bicycle,WB,L,0,0,0,1,3,1,1,2,1
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,2,3,1,0,0,0
bicycle,NB,L,0,0,0,0,0,1,1,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,1,0,0,0,0,0,0
bicycle,EB,T,0,1,0,0,1,0,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
