vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,5,20,11,29,51,17,24,36,7
car,SB,R,5,16,19,18,20,19,19,19,4
car,SB,T,40,77,82,82,92,138,127,120,50
car,SB,L,0,0,0,0,0,1,0,0,0
car,WB,Peds,14,37,46,61,55,70,78,72,33
car,WB,R,4,0,2,5,0,2,8,0,0
car,WB,T,98,166,169,184,236,197,205,153,62
car,WB,L,21,48,82,66,72,81,71,71,27
car,NB,Peds,21,22,47,62,66,158,82,108,26
car,NB,R,0,0,0,0,0,0,0,0,0
car,NB,T,0,0,0,0,0,0,0,0,0
car,NB,L,0,0,0,1,0,0,0,0,0
car,EB,Peds,15,39,52,37,35,53,76,48,23
car,EB,R,0,0,3,0,0,0,0,0,0
car,EB,T,0,0,0,0,0,0,0,0,0
car,EB,L,0,0,6,0,0,0,0,0,0
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,1,0,0,0,0,0,0,0
truck,SB,T,1,3,7,3,1,3,5,4,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,4,9,10,9,5,9,9,8,2
truck,WB,L,1,3,5,2,2,2,1,4,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0,0,0
truck,NB,T,0,0,0,0,0,0,0,0,0
truck,NB,L,0,0,0,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0,0
truck,EB,T,0,0,0,0,0,0,0,0,0
truck,EB,L,0,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,2,0,1,0,0
bicycle,SB,T,1,1,1,4,6,4,3,8,1
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0,0,0
bicycle,WB,T,0,3,4,6,4,4,4,3,1
bicycle,WB,L,0,1,0,0,0,0,1,1,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,1,0,0,0,1,1
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0,1
bicycle,EB,T,1,1,0,0,1,2,0,1,1
bicycle,EB,L,0,0,0,0,0,1,1,0,0
