vehicleType,heading,dir,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30
car,SB,Peds,3,3,3,1
car,SB,R,1,1,4,3
car,SB,T,85,74,67,61
car,SB,L,2,3,0,2
car,WB,Peds,5,4,2,4
car,WB,R,0,0,1,2
car,WB,T,7,14,18,7
car,WB,L,12,17,7,14
car,NB,Peds,2,8,0,2
car,NB,R,28,15,25,10
car,NB,T,72,59,70,57
car,NB,L,2,5,2,7
car,EB,Peds,3,3,5,2
car,EB,R,6,10,5,9
car,EB,T,37,52,38,38
car,EB,L,5,4,2,4
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,4,2,4,1
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,1,0,1
truck,WB,L,0,0,0,2
truck,NB,Peds,0,0,0,0
truck,NB,R,1,2,0,1
truck,NB,T,8,3,8,6
truck,NB,L,1,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,1
truck,EB,T,0,0,0,2
truck,EB,L,0,0,0,1
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,1,2,0,1
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,1,1,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,1,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,0,0,0,1
bicycle,EB,L,0,0,0,0
