vehicleType,heading,dir,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15
car,SB,Peds,1,0,0,0
car,SB,R,0,0,1,1
car,SB,T,164,182,171,122
car,SB,L,1,0,0,0
car,WB,Peds,0,0,0,0
car,WB,R,1,13,3,0
car,WB,T,3,6,4,9
car,WB,L,40,31,49,43
car,NB,Peds,0,1,0,0
car,NB,R,0,1,0,0
car,NB,T,86,88,106,104
car,NB,L,56,51,74,70
car,EB,Peds,0,0,0,0
car,EB,R,70,58,66,53
car,EB,T,23,20,18,23
car,EB,L,2,0,0,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,2,1,1,3
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,0,0,0
truck,WB,L,0,0,1,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,4,2,3,1
truck,NB,L,4,7,4,7
truck,EB,Peds,0,0,0,0
truck,EB,R,6,6,7,5
truck,EB,T,0,1,0,0
truck,EB,L,0,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,1,2,2,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,1,0,0,0
bicycle,WB,L,0,1,0,1
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,1,0
bicycle,NB,T,0,0,0,1
bicycle,NB,L,0,1,1,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,0,0,0,0
bicycle,EB,L,0,0,0,0
