vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,1,8,0,5,4,5,3
car,SB,R,3,4,6,3,6,0,0
car,SB,T,44,75,67,69,76,87,20
car,SB,L,25,36,35,34,33,27,9
car,WB,Peds,0,1,1,2,4,0,1
car,WB,R,23,28,55,46,39,62,10
car,WB,T,38,73,64,47,66,55,15
car,WB,L,1,0,3,2,0,0,1
car,NB,Peds,0,5,1,7,10,0,1
car,NB,R,0,2,1,0,1,1,0
car,NB,T,24,38,41,49,44,37,13
car,NB,L,0,3,0,3,4,2,0
car,EB,Peds,0,4,2,5,1,4,0
car,EB,R,0,0,3,2,0,2,1
car,EB,T,20,35,26,26,33,24,14
car,EB,L,1,3,2,1,3,1,0
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,0,0,1,0,0,1
truck,SB,T,6,7,3,2,11,7,4
truck,SB,L,3,2,1,4,3,2,3
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,6,1,1,1,9,2,0
truck,WB,T,3,14,1,2,3,3,0
truck,WB,L,0,1,0,0,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,0,0,0,0,0,0,0
truck,NB,T,2,4,1,4,2,2,0
truck,NB,L,0,0,1,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,2,1,0,0,1,1
truck,EB,T,3,4,1,4,2,0,0
truck,EB,L,0,0,1,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,1
bicycle,SB,T,1,0,0,1,4,1,4
bicycle,SB,L,0,0,0,3,2,1,2
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,2,3,1,0
bicycle,WB,T,0,0,1,0,2,2,1
bicycle,WB,L,0,0,0,0,1,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,1,2,0
bicycle,NB,L,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0
bicycle,EB,T,1,0,0,0,0,1,0
bicycle,EB,L,0,1,0,0,0,0,0
