vehicleType,heading,dir,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15
car,SB,Peds,0,0,0,0
car,SB,R,3,15,7,7
car,SB,T,19,33,29,13
car,SB,L,0,3,2,0
car,WB,Peds,0,0,1,1
car,WB,R,0,1,0,1
car,WB,T,46,68,49,46
car,WB,L,11,11,12,11
car,NB,Peds,1,0,1,2
car,NB,R,9,7,11,8
car,NB,T,28,22,37,21
car,NB,L,74,75,81,68
car,EB,Peds,0,1,0,0
car,EB,R,57,46,51,41
car,EB,T,53,56,48,52
car,EB,L,2,1,1,2
truck,SB,Peds,0,0,0,0
truck,SB,R,1,0,0,0
truck,SB,T,2,2,1,1
truck,SB,L,0,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,7,1,2,5
truck,WB,L,1,1,0,1
truck,NB,Peds,0,0,0,0
truck,NB,R,1,2,1,2
truck,NB,T,0,0,0,1
truck,NB,L,7,3,1,4
truck,EB,Peds,0,0,0,0
truck,EB,R,0,1,3,1
truck,EB,T,3,5,4,2
truck,EB,L,1,0,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,1,0,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,0,1,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,1,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,2,1,0,2
bicycle,EB,T,0,0,0,0
bicycle,EB,L,0,0,0,0
