vehicleType,heading,dir,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45
car,SB,Peds,0,0,0,0,0,1,0
car,SB,R,1,3,15,7,7,4,0
car,SB,T,9,19,33,29,13,23,3
car,SB,L,0,0,3,2,0,0,0
car,WB,Peds,1,0,0,1,1,0,1
car,WB,R,0,0,1,0,1,1,0
car,WB,T,29,46,68,49,46,60,9
car,WB,L,12,11,11,12,11,12,1
car,NB,Peds,2,1,0,1,2,0,0
car,NB,R,3,9,7,11,8,10,8
car,NB,T,17,28,22,37,21,39,14
car,NB,L,32,74,75,81,68,57,19
car,EB,Peds,1,0,1,0,0,0,0
car,EB,R,32,57,46,51,41,45,14
car,EB,T,29,53,56,48,52,56,16
car,EB,L,2,2,1,1,2,0,1
truck,SB,Peds,0,0,0,0,0,0,0
truck,SB,R,0,1,0,0,0,0,0
truck,SB,T,1,2,2,1,1,1,0
truck,SB,L,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0
truck,WB,T,1,7,1,2,5,4,0
truck,WB,L,2,1,1,0,1,1,0
truck,NB,Peds,0,0,0,0,0,0,0
truck,NB,R,1,1,2,1,2,1,1
truck,NB,T,0,0,0,0,1,0,0
truck,NB,L,4,7,3,1,4,0,0
truck,EB,Peds,0,0,0,0,0,0,0
truck,EB,R,0,0,1,3,1,0,0
truck,EB,T,3,3,5,4,2,1,0
truck,EB,L,1,1,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0
bicycle,SB,T,0,0,1,0,0,0,0
bicycle,SB,L,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,0
bicycle,WB,T,1,0,0,1,0,0,0
bicycle,WB,L,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,1,0
bicycle,NB,T,0,0,0,1,0,0,0
bicycle,NB,L,1,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0
bicycle,EB,R,1,2,1,0,2,0,0
bicycle,EB,T,2,0,0,0,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0
