vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00
car,SB,Peds,10,6,6,20,5,6,7,1
car,SB,R,6,2,1,1,2,2,2,2
car,SB,T,18,19,17,25,26,31,18,9
car,SB,L,12,16,22,17,12,19,9,3
car,WB,Peds,19,18,8,12,5,11,4,1
car,WB,R,1,2,1,0,4,1,6,5
car,WB,T,16,29,29,28,27,28,30,10
car,WB,L,5,8,2,10,11,12,13,6
car,NB,Peds,9,16,3,7,2,28,11,3
car,NB,R,11,26,42,36,47,47,41,32
car,NB,T,12,31,37,20,33,32,39,11
car,NB,L,3,4,5,3,2,2,3,1
car,EB,Peds,6,22,16,20,5,13,10,5
car,EB,R,0,3,1,2,2,1,1,2
car,EB,T,38,38,65,60,66,51,56,34
car,EB,L,1,1,1,3,3,1,2,1
truck,SB,Peds,0,0,0,0,0,0,0,0
truck,SB,R,1,1,1,0,0,2,0,1
truck,SB,T,2,2,2,2,3,0,4,0
truck,SB,L,0,0,1,1,2,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0
truck,WB,T,2,2,3,3,2,3,6,0
truck,WB,L,2,2,1,6,3,1,4,2
truck,NB,Peds,0,0,0,0,0,0,0,0
truck,NB,R,3,7,2,6,5,5,3,1
truck,NB,T,1,1,5,6,5,3,4,2
truck,NB,L,0,1,1,1,3,0,2,0
truck,EB,Peds,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,0,0,0
truck,EB,T,0,4,6,1,6,3,5,2
truck,EB,L,0,0,0,0,0,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0
bicycle,SB,T,0,1,0,2,0,0,0,0
bicycle,SB,L,0,0,0,1,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0
bicycle,WB,R,0,0,0,0,0,0,1,0
bicycle,WB,T,0,1,1,0,1,1,0,0
bicycle,WB,L,1,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,1,0,0,0,1
bicycle,NB,T,0,0,1,0,0,0,0,0
bicycle,NB,L,0,0,1,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,1,1,2,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0,0
