vehicleType,heading,dir,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15
car,SB,Peds,2,1,3,3,3,1,2,3,0
car,SB,R,2,2,1,1,4,3,7,2,0
car,SB,T,43,78,85,74,67,61,63,66,0
car,SB,L,0,1,2,3,0,2,2,2,0
car,WB,Peds,1,2,5,4,2,4,0,5,2
car,WB,R,0,0,0,0,1,2,4,1,0
car,WB,T,3,6,7,14,18,7,18,7,0
car,WB,L,12,10,12,17,7,14,9,4,0
car,NB,Peds,0,1,2,8,0,2,2,4,1
car,NB,R,6,16,28,15,25,10,21,12,0
car,NB,T,20,56,72,59,70,57,59,65,3
car,NB,L,4,3,2,5,2,7,11,8,0
car,EB,Peds,1,0,3,3,5,2,1,6,0
car,EB,R,2,5,6,10,5,9,5,6,0
car,EB,T,23,34,37,52,38,38,29,31,1
car,EB,L,1,3,5,4,2,4,1,3,0
truck,SB,Peds,0,0,0,0,0,0,0,0,0
truck,SB,R,0,0,0,0,0,0,0,0,0
truck,SB,T,4,4,4,2,4,1,4,1,0
truck,SB,L,0,0,0,0,0,0,0,0,0
truck,WB,Peds,0,0,0,0,0,0,0,0,0
truck,WB,R,0,0,0,0,0,0,0,0,0
truck,WB,T,0,0,0,1,0,1,0,0,0
truck,WB,L,0,0,0,0,0,2,0,0,0
truck,NB,Peds,0,0,0,0,0,0,0,0,0
truck,NB,R,0,0,1,2,0,1,0,1,0
truck,NB,T,1,5,8,3,8,6,6,5,0
truck,NB,L,0,0,1,0,0,0,0,0,0
truck,EB,Peds,0,0,0,0,0,0,0,0,0
truck,EB,R,0,0,0,0,0,1,0,0,0
truck,EB,T,1,0,0,0,0,2,0,0,0
truck,EB,L,0,0,0,0,0,1,0,0,0
bicycle,SB,Peds,0,0,0,0,0,0,0,0,0
bicycle,SB,R,0,0,0,0,0,0,0,0,0
bicycle,SB,T,0,0,1,2,0,1,0,1,0
bicycle,SB,L,0,0,0,0,0,0,0,0,0
bicycle,WB,Peds,0,0,0,0,0,0,0,0,0
bicycle,WB,R,0,1,0,0,0,0,0,0,0
bicycle,WB,T,0,0,0,1,1,0,1,0,0
bicycle,WB,L,0,0,0,0,0,0,0,0,0
bicycle,NB,Peds,0,0,0,0,0,0,0,0,0
bicycle,NB,R,0,0,0,0,0,0,0,0,0
bicycle,NB,T,0,0,0,0,1,0,1,0,0
bicycle,NB,L,0,0,0,0,0,0,0,0,0
bicycle,EB,Peds,0,0,0,0,0,0,0,0,0
bicycle,EB,R,0,0,0,0,0,0,0,0,0
bicycle,EB,T,0,0,0,0,0,1,0,0,0
bicycle,EB,L,0,0,0,0,0,0,0,0,0
