vehicleType,heading,dir,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15
car,SB,Peds,5,6,2,4
car,SB,R,3,6,2,8
car,SB,T,57,52,46,49
car,SB,L,2,1,1,2
car,WB,Peds,2,2,3,5
car,WB,R,1,2,1,2
car,WB,T,17,20,17,22
car,WB,L,6,7,3,5
car,NB,Peds,4,10,5,8
car,NB,R,10,2,3,6
car,NB,T,72,78,77,68
car,NB,L,15,17,20,20
car,EB,Peds,8,9,4,7
car,EB,R,13,15,12,15
car,EB,T,23,15,19,18
car,EB,L,0,1,5,5
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,2,1,1,1
truck,SB,L,1,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,1,2,1,2
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,0,1,0,0
truck,NB,L,0,0,0,0
truck,EB,Peds,0,0,0,0
truck,EB,R,0,0,0,0
truck,EB,T,0,0,0,0
truck,EB,L,0,0,1,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,0
bicycle,SB,T,0,0,0,0
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,0,1,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,2,0,0,1
bicycle,NB,T,0,0,2,1
bicycle,NB,L,0,1,1,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,0,0,0
bicycle,EB,T,1,1,0,1
bicycle,EB,L,0,0,0,0
