vehicleType,heading,dir,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15
car,SB,Peds,0,0,0,4
car,SB,R,2,5,6,2
car,SB,T,181,156,167,150
car,SB,L,1,2,3,2
car,WB,Peds,2,0,0,0
car,WB,R,4,2,1,0
car,WB,T,13,14,19,12
car,WB,L,55,62,54,71
car,NB,Peds,0,1,0,0
car,NB,R,0,0,3,0
car,NB,T,114,125,112,123
car,NB,L,70,83,84,80
car,EB,Peds,1,1,0,0
car,EB,R,71,69,79,64
car,EB,T,19,7,11,5
car,EB,L,2,2,1,0
truck,SB,Peds,0,0,0,0
truck,SB,R,0,0,0,0
truck,SB,T,10,2,1,1
truck,SB,L,1,0,0,0
truck,WB,Peds,0,0,0,0
truck,WB,R,0,0,0,0
truck,WB,T,0,1,0,0
truck,WB,L,0,0,0,0
truck,NB,Peds,0,0,0,0
truck,NB,R,0,0,0,0
truck,NB,T,5,2,2,1
truck,NB,L,9,3,3,2
truck,EB,Peds,0,0,0,0
truck,EB,R,2,3,3,2
truck,EB,T,2,0,0,0
truck,EB,L,0,1,0,0
bicycle,SB,Peds,0,0,0,0
bicycle,SB,R,0,0,0,1
bicycle,SB,T,1,0,0,1
bicycle,SB,L,0,0,0,0
bicycle,WB,Peds,0,0,0,0
bicycle,WB,R,0,0,0,0
bicycle,WB,T,0,0,0,0
bicycle,WB,L,0,0,0,0
bicycle,NB,Peds,0,0,0,0
bicycle,NB,R,0,0,0,0
bicycle,NB,T,0,0,0,0
bicycle,NB,L,0,0,0,0
bicycle,EB,Peds,0,0,0,0
bicycle,EB,R,0,2,0,0
bicycle,EB,T,0,0,0,1
bicycle,EB,L,0,0,0,0
